s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
Time,L_IAS_X,L_IAS_Y,L_IAS_Z,L_IPS_X,L_IPS_Y,L_IPS_Z,R_IPS_X,R_IPS_Y,R_IPS_Z,R_IAS_X,R_IAS_Y,R_IAS_Z,L_FTC_X,L_FTC_Y,L_FTC_Z,L_FLE_X,L_FLE_Y,L_FLE_Z,L_FME_X,L_FME_Y,L_FME_Z,L_FAX_X,L_FAX_Y,L_FAX_Z,L_TTC_X,L_TTC_Y,L_TTC_Z,L_FAL_X,L_FAL_Y,L_FAL_Z,L_TAM_X,L_TAM_Y,L_TAM_Z,L_FCC_X,L_FCC_Y,L_FCC_Z,L_FM1_X,L_FM1_Y,L_FM1_Z,L_FM2_X,L_FM2_Y,L_FM2_Z,L_FM5_X,L_FM5_Y,L_FM5_Z,R_FTC_X,R_FTC_Y,R_FTC_Z,R_FLE_X,R_FLE_Y,R_FLE_Z,R_FME_X,R_FME_Y,R_FME_Z,R_FAX_X,R_FAX_Y,R_FAX_Z,R_TTC_X,R_TTC_Y,R_TTC_Z,R_FAL_X,R_FAL_Y,R_FAL_Z,R_TAM_X,R_TAM_Y,R_TAM_Z,R_FCC_X,R_FCC_Y,R_FCC_Z,R_FM1_X,R_FM1_Y,R_FM1_Z,R_FM2_X,R_FM2_Y,R_FM2_Z,R_FM5_X,R_FM5_Y,R_FM5_Z
5.07,647.04,647.148,949.792,468.068,574.734,955.102,467.903,493.852,953.604,633.189,404.809,940.175,609.693,711.732,805.909,742.629,652.444,490.444,0,0,0,721.046,666.118,442.546,767.27,617.953,420.875,692.174,641.22,68.5016,0,0,0,638.741,603.577,42.6241,839.749,583.733,41.7592,0,0,0,813.238,656.267,25.592,585.218,357.383,779.66,566.328,378.538,440.426,0,0,0,528.419,376.263,421.007,543.676,412.867,369.688,212.455,419.939,223.59,0,0,0,184.871,467.08,253.63,233.154,457.995,69.2583,0,0,0,198.842,396.172,96.1582
5.08,646.946,648.246,951.769,468,575.956,957.671,467.878,494.998,955.166,632.588,405.544,941.428,609.156,713.207,808.684,734.391,653.876,489.485,0,0,0,711.457,667.586,442.027,757.623,619.472,419.445,676.377,641.548,68.6144,0,0,0,622.893,603.857,42.8878,823.873,583.726,41.6068,0,0,0,797.296,656.651,25.5161,587.21,358.822,780.564,578.638,378.146,441.651,0,0,0,541.444,376.269,422.276,557.063,412.994,370.846,223.246,423.358,229.932,0,0,0,196.489,471.056,259.79,244.1,457.966,74.8768,0,0,0,208.181,397.768,103.271
5.09,646.689,649.051,953.777,467.576,577.028,960.425,467.545,496.096,956.975,631.924,406.288,942.966,607.508,713.849,810.823,725.352,655.157,488.593,0,0,0,700.989,668.431,441.076,747.263,620.698,418.093,660.508,641.632,68.6495,0,0,0,606.884,603.991,43.2269,807.996,583.72,41.3686,0,0,0,781.365,656.995,25.4777,589.04,360.142,782.04,591.026,378.181,443.731,0,0,0,554.116,376.574,424.272,570.339,413.488,372.915,235.046,427.237,234.416,0,0,0,207.556,474.816,263.139,260.741,457.946,79.2797,0,0,0,224.133,398.597,108.175
5.1,646.135,649.862,955.813,466.945,577.954,963.112,467.011,497.203,959.122,630.874,407.194,944.816,605.87,715.49,812.898,715.612,656.203,487.711,0,0,0,690.154,669.307,440.563,736.135,621.55,417.119,644.716,641.732,68.8357,0,0,0,591.026,604.054,43.6567,792.177,583.978,41.1638,0,0,0,765.472,657.197,25.4325,590.57,361.144,784.158,603.395,378.442,446.558,0,0,0,566.652,377.392,426.881,583.643,414.499,375.603,249.082,430.573,236.031,0,0,0,220.073,478.029,263.893,281.353,458.858,81.9051,0,0,0,243.885,399.506,110.889
5.11,645.236,650.665,957.862,466.077,578.958,965.683,466.299,498.287,961.499,629.707,408.357,947.432,603.133,716.495,814.293,705.461,656.99,486.955,0,0,0,679.044,670.002,440.353,724.888,622.401,416.163,628.954,641.662,68.9914,0,0,0,575.175,604.053,44.1307,776.39,584.133,41.1462,0,0,0,749.557,657.471,25.4167,591.929,362.068,786.823,615.586,379.25,450.013,0,0,0,579.19,378.456,429.671,597.176,415.625,378.769,264.086,433.669,235.431,0,0,0,233.774,481.308,262.264,304.556,459.375,83.2751,0,0,0,264.735,401.445,111.279
5.12,644.033,651.738,959.942,465.176,580.163,968.254,465.405,499.276,964.085,629.089,409.502,950.239,599.071,717.188,815.382,694.96,657.589,486.328,0,0,0,667.619,670.483,440.283,713.061,622.97,415.315,613.254,641.649,69.3772,0,0,0,559.349,603.901,44.7495,760.605,584.23,41.1159,0,0,0,733.614,657.675,25.3863,593.26,362.913,789.776,627.618,380.031,453.799,0,0,0,591.759,379.481,432.794,610.786,416.677,382.475,280.138,437.02,232.618,0,0,0,248.456,484.594,258.158,329.699,459.933,83.4585,0,0,0,287.612,403.441,109.342
5.13,642.659,652.933,961.971,464.136,581.079,970.714,464.637,500.163,966.716,628.344,410.918,953.134,595.021,717.779,816.455,684.097,658.187,485.797,0,0,0,655.991,670.937,440.414,700.9,623.318,414.417,597.495,641.556,69.8099,0,0,0,543.507,603.647,45.4535,744.771,584.344,41.0611,0,0,0,717.693,657.816,25.4777,594.207,363.127,792.758,639.312,380.724,457.918,0,0,0,603.812,380.47,436.015,624.268,417.708,386.511,296.988,439.4,227.974,0,0,0,263.887,487.343,251.671,356.228,461.199,82.4709,0,0,0,311.464,405.477,106.244
5.14,641.368,654.465,964.127,462.979,581.768,973.041,463.872,500.915,969.175,627.589,412.407,956.036,590.806,718.433,817.731,672.807,658.754,485.361,0,0,0,643.847,671.192,440.383,688.454,623.671,413.75,581.85,641.393,70.2481,0,0,0,527.77,603.445,46.2882,729.06,584.452,40.9768,0,0,0,701.77,658.021,25.4274,596.747,364.557,795.901,650.359,381.593,462.307,0,0,0,615.531,381.734,439.087,637.38,419.088,390.546,315.356,441.822,221.376,0,0,0,280.533,489.877,243.265,383.413,463.626,80.3525,0,0,0,337.575,407.604,101.337
5.15,640.672,655.826,966.15,461.693,582.288,975.148,462.92,501.055,971.606,627.841,413.706,958.922,586.683,719.116,819.113,661.298,659.446,485.054,0,0,0,631.258,671.425,440.448,675.909,624.176,413.351,566.177,641.221,70.9797,0,0,0,512.028,603.01,47.2483,713.375,584.69,40.9937,0,0,0,685.856,658.147,25.5449,598.892,365.502,798.836,660.762,382.683,466.663,0,0,0,626.719,383.124,442.129,650.161,420.511,394.627,334.724,443.646,213.213,0,0,0,298.052,491.833,232.984,412.207,464.867,77.6637,0,0,0,364.923,409.154,95.7397
5.16,638.352,657.062,967.93,460.341,582.691,977.083,461.852,501.297,973.764,627.198,414.934,961.479,582.898,719.777,820.441,649.522,660.312,484.903,0,0,0,618.432,671.597,440.536,663.165,624.753,412.996,550.653,640.844,71.7032,0,0,0,496.534,602.49,48.3029,697.79,584.881,41.0569,0,0,0,669.977,658.256,25.6026,600.862,366.202,801.685,670.757,384.118,470.864,0,0,0,637.485,384.555,445.015,662.717,422.075,398.418,354.704,444.654,203.744,0,0,0,316.731,492.59,221.167,441.871,466.78,74.469,0,0,0,393.399,410.859,88.9921
5.17,636.526,658.275,969.382,458.997,582.881,978.864,460.788,501.618,975.674,626.468,416.095,963.712,579.098,720.559,821.655,637.545,661.275,484.815,0,0,0,605.284,672.04,440.825,650.392,625.515,412.782,535.221,640.49,72.4791,0,0,0,481.12,601.736,49.3232,682.311,585.12,41.0326,0,0,0,654.163,658.397,25.5877,602.742,366.995,804.432,680.149,385.677,474.986,0,0,0,647.779,386.089,447.798,674.673,423.776,402.876,376.086,445.555,193.191,0,0,0,336.476,493.502,208.194,472.057,468.105,70.9118,0,0,0,422.779,411.88,82.1859
5.18,634.557,659.33,970.474,457.534,583.1,980.56,459.911,501.303,977.282,625.583,417.224,965.581,575.496,721.133,822.607,625.459,662.412,484.809,0,0,0,592.475,672.721,441.237,637.82,626.561,412.58,519.854,640.067,73.281,0,0,0,465.528,600.741,50.3799,666.855,585.4,41.1524,0,0,0,638.29,658.63,25.6823,604.455,367.891,806.956,688.733,387.483,478.912,0,0,0,657.552,387.749,450.165,685.808,425.714,406.967,398.479,446.228,181.787,0,0,0,357.594,494.062,194.151,502.903,469.127,66.9913,0,0,0,453.745,412.975,74.3502
5.19,632.649,660.354,971.175,456.172,582.973,982.01,458.849,501.332,978.527,624.436,418.18,966.836,571.839,721.685,823.527,613.632,663.812,484.833,0,0,0,579.951,673.583,441.872,625.46,627.528,412.365,504.484,639.384,74.1649,0,0,0,450.247,599.521,51.7736,651.57,585.816,41.2072,0,0,0,622.433,658.798,25.7282,605.568,368.322,809.027,696.717,389.329,482.575,0,0,0,666.635,389.381,452.378,696.939,428.169,409.956,421.991,446.447,169.867,0,0,0,379.817,494.036,179.31,534.488,469.628,63.2683,0,0,0,484.634,413.217,67.367
5.2,630.811,661.059,971.595,454.774,582.911,983.224,457.671,501.146,979.404,624.077,418.675,968.077,567.745,722.372,824.369,601.874,665.171,484.831,0,0,0,567.695,674.165,442.429,613.346,628.698,412.206,489.169,638.821,75.1902,0,0,0,435.064,598.228,53.1189,636.419,586.405,41.2746,0,0,0,606.525,658.847,25.7307,606.707,368.849,810.829,703.675,391.351,485.898,0,0,0,674.996,390.991,454.252,707.05,429.853,413.617,446.36,446.27,157.343,0,0,0,403.436,493.825,163.851,566.347,469.597,59.6555,0,0,0,516.697,413.023,60.358
5.21,628.928,661.674,971.72,453.448,582.569,984.135,456.59,501.035,980.002,622.896,419.154,968.314,562.817,723.668,824.983,590.45,666.334,484.682,0,0,0,555.648,674.628,442.823,600.949,629.734,412.122,473.935,638.158,76.0655,0,0,0,419.917,597.382,54.7294,621.188,586.703,41.2878,0,0,0,590.534,658.725,25.409,607.616,369.252,812.187,709.905,393.264,488.903,0,0,0,682.617,392.612,455.703,716.181,431.48,416.928,472.117,445.662,144.926,0,0,0,428.411,493.078,147.863,598.855,468.846,56.3508,0,0,0,549.161,412.204,53.5852
5.22,627.204,662.116,971.602,452.024,582.227,984.768,455.485,500.675,980.258,621.749,419.691,968.271,559.193,723.239,825.427,579.205,667.153,484.447,0,0,0,543.91,675.026,443.163,588.905,630.4,411.845,458.732,637.694,76.9656,0,0,0,404.695,596.299,56.0426,605.775,586.854,41.1391,0,0,0,574.724,658.726,25.4518,608.353,369.574,813.215,715.247,395.175,491.185,0,0,0,689.513,393.889,456.88,724.523,432.93,419.949,498.753,444.512,132.356,0,0,0,454.972,491.861,132.049,631.55,467.555,53.3672,0,0,0,582.306,410.751,47.4748
5.23,625.347,662.392,971.055,450.612,581.774,985.04,454.4,500.378,980.134,620.912,420.144,967.956,555.056,723.558,825.415,568.131,667.733,483.874,0,0,0,532.286,675.291,443.284,576.921,630.74,411.274,443.394,637.221,77.7916,0,0,0,389.289,595.747,57.3988,590.335,586.841,41.0329,0,0,0,558.882,658.677,25.4359,609.635,369.777,813.988,719.515,396.988,493.158,0,0,0,695.495,395.2,457.549,732.07,434.202,422.525,526.373,442.828,120.442,0,0,0,482.336,489.924,116.583,664.452,465.638,51.0825,0,0,0,615.946,408.574,42.1433
5.24,623.565,662.72,970.229,449.401,581.474,984.957,453.387,499.994,979.717,620.251,420.579,967.308,551.073,723.769,824.966,557.334,668.021,483.231,0,0,0,520.971,675.38,443.244,565.111,630.952,410.589,428.154,636.669,78.4751,0,0,0,373.869,595.12,58.6703,574.878,586.862,40.8805,0,0,0,543.184,658.747,25.7543,609.895,369.909,814.193,722.856,398.737,494.453,0,0,0,700.551,396.342,457.685,738.776,435.356,424.606,554.703,440.404,108.784,0,0,0,510.872,487.376,101.501,697.442,463.187,49.7075,0,0,0,649.935,405.895,37.8459
5.25,621.727,662.964,968.938,448.154,580.827,984.488,452.432,499.376,978.955,619.646,420.953,966.283,547.205,724.087,824.3,546.818,668.123,482.4,0,0,0,509.792,675.279,443.107,553.475,630.911,409.811,412.91,636.112,79.121,0,0,0,358.432,594.347,59.9758,559.406,586.719,40.6923,0,0,0,527.296,658.536,25.7459,610.727,369.74,814.135,725.253,400.313,495.053,0,0,0,704.933,397.328,457.302,744.562,436.481,426.237,584.215,436.962,98.8986,0,0,0,540.454,484.173,87.2957,730.369,460.305,49.363,0,0,0,684.18,402.786,34.9063
5.26,619.776,663.321,967.174,446.745,580.015,983.73,451.047,499.011,977.707,619.276,421.369,964.854,543.567,724.013,823.268,536.466,668.106,481.502,0,0,0,498.842,675.093,442.769,542.018,630.766,408.913,397.483,635.457,80.1023,0,0,0,343.085,593.314,61.273,543.848,586.828,40.7812,0,0,0,511.387,658.26,25.7358,611.3,369.55,813.526,726.981,401.723,494.974,0,0,0,708.559,398.039,456.356,749.306,437.72,427.38,613.998,433.621,89.5348,0,0,0,570.867,480.567,74.6752,763.154,457.529,50.4351,0,0,0,718.528,399.589,33.4673
5.27,618.221,663.595,965.266,445.595,579.203,982.498,450.366,498.295,976.077,618.835,421.828,962.948,540.164,724.201,822.145,526.377,667.977,480.584,0,0,0,487.976,674.832,442.447,530.691,630.504,407.959,382.18,634.514,80.9979,0,0,0,327.668,592.125,62.7112,528.393,586.725,40.7163,0,0,0,495.402,657.935,25.768,611.688,369.355,812.302,727.974,403.054,494.109,0,0,0,711.385,398.735,455.082,753.191,438.943,428.179,644.183,430.059,81.5619,0,0,0,601.754,476.267,63.5773,795.61,455.203,52.7991,0,0,0,752.819,396.499,33.5434
5.28,616.683,663.922,963.011,444.752,578.584,980.847,449.647,497.742,974.12,618.64,422.094,960.722,536.858,724.365,820.817,516.428,667.702,479.46,0,0,0,477.193,674.639,442.155,519.45,630.413,406.988,366.81,633.374,81.8689,0,0,0,312.345,590.796,64.2049,512.81,586.661,40.6446,0,0,0,479.347,657.629,25.89,611.695,369.266,810.418,728.391,404.295,492.624,0,0,0,713.554,399.263,453.476,756.603,439.891,428.434,674.598,426.247,75.6525,0,0,0,632.748,471.77,54.4975,827.201,453.554,56.5173,0,0,0,786.727,394.095,35.2303
5.29,615.647,663.66,960.662,443.785,577.688,978.92,449.073,497.12,971.789,618.6,422.324,958.187,533.661,724.583,819.356,506.588,667.576,478.567,0,0,0,466.637,674.292,441.888,508.393,630.349,405.992,351.293,632.309,82.9483,0,0,0,297.067,589.364,65.8814,497.176,586.818,40.7043,0,0,0,463.215,657.3,25.9859,611.343,369.384,807.714,728.32,405.438,490.471,0,0,0,715.483,399.604,451.481,760.259,441.25,428.107,704.47,422.773,71.7034,0,0,0,663.169,467.144,47.7406,857.616,452.691,61.854,0,0,0,819.623,392.374,38.5033
5.3,613.85,664.486,957.993,443.116,576.989,976.722,448.64,496.548,969.177,618.658,422.494,955.378,530.498,724.792,817.756,497.002,667.467,477.591,0,0,0,456.534,674.222,441.818,497.623,630.305,405.005,336.009,631.376,84.2036,0,0,0,281.735,588.085,67.8591,481.599,586.615,40.7189,0,0,0,447.015,656.951,26.1335,610.826,369.529,804.391,728.256,406.632,487.746,0,0,0,717.788,399.716,449.414,763.098,442.046,427.691,732.82,419.563,69.4959,0,0,0,692.455,463.097,43.0071,886.125,452.572,69.161,0,0,0,850.87,391.478,43.7706
5.31,612.682,664.667,955.315,442.336,576.11,974.213,447.389,495.954,966.475,618.809,422.603,952.371,527.334,725.041,816.141,487.763,667.432,476.756,0,0,0,446.769,673.921,441.636,487.212,630.254,404.046,320.747,630.447,85.5612,0,0,0,266.589,586.978,70.0725,465.857,586.567,40.665,0,0,0,430.793,656.685,26.2242,609.609,370.219,800.293,728.419,407.078,484.902,0,0,0,720.207,399.643,447.59,765.807,442.965,427.328,759.515,416.947,69.2955,0,0,0,719.824,459.473,40.267,911.823,453.201,78.255,0,0,0,879.586,391.298,51.0331
5.32,611.57,664.738,952.605,441.883,575.394,971.578,448.188,495.022,963.516,619.023,422.516,949.239,524.177,725.236,814.527,479.044,667.495,475.808,0,0,0,437.105,673.638,441.414,477.371,630.27,403.008,305.521,629.93,87.2945,0,0,0,251.467,586.287,72.5557,450.168,586.569,40.6174,0,0,0,414.616,656.443,26.2461,608.618,370.629,795.952,728.625,407.106,482.158,0,0,0,722.405,399.477,446.253,768.211,443.77,427.162,783.593,414.794,70.6035,0,0,0,744.739,456.131,38.6891,934.472,454.776,88.1989,0,0,0,905.459,391.777,59.6474
5.33,610.824,664.535,949.85,441.587,574.138,968.974,447.98,494.013,960.792,619.262,422.288,946.038,521.036,725.213,812.882,470.911,667.735,474.864,0,0,0,428.379,673.497,441.235,468.221,630.442,401.934,290.459,629.866,89.2876,0,0,0,236.363,586.095,75.4637,434.351,586.718,40.5114,0,0,0,398.291,656.081,25.94,607.906,370.837,791.788,729.264,407.045,480.033,0,0,0,724.335,399.27,445.253,770.306,444.347,427.428,804.468,412.951,72.5946,0,0,0,766.503,453.181,38.3356,953.532,456.67,97.7868,0,0,0,927.822,392.964,67.7321
5.34,610.127,664.19,947.154,441.225,572.872,966.399,448.073,492.81,958.096,619.514,421.853,942.924,518.149,725.04,811.323,463.577,668.118,473.774,0,0,0,420.797,673.797,441.092,459.803,630.795,400.754,275.487,630.387,91.7912,0,0,0,221.359,586.521,78.9019,418.49,586.717,40.434,0,0,0,382.155,655.929,25.838,607.774,370.602,788.149,730.64,407.248,478.966,0,0,0,726.655,399.044,444.598,772.341,445.104,428.102,822.419,411.988,74.9347,0,0,0,784.443,450.624,38.8688,968.744,458.704,106.126,0,0,0,946.083,394.411,74.5785
5.35,609.685,663.611,944.484,440.061,571.018,964.108,447.96,491.605,955.604,619.751,421.287,939.961,515.571,724.554,809.697,457.066,668.678,472.67,0,0,0,413.774,673.835,440.633,452.225,631.216,399.384,261.164,630.798,94.1425,0,0,0,206.593,587.502,82.8466,402.531,586.802,40.4041,0,0,0,366.244,655.999,25.8872,608.445,369.725,785.161,732.886,407.701,478.761,0,0,0,729.659,398.943,444.222,774.492,445.773,428.73,835.427,411.112,76.7227,0,0,0,797.851,448.773,39.3541,980.074,460.555,111.829,0,0,0,959.709,395.856,79.5336
5.36,609.417,662.916,941.868,440.233,569.885,961.831,448.071,490.312,953.271,619.956,420.591,937.291,513.366,723.803,808.086,451.673,669.269,471.435,0,0,0,407.508,673.672,439.746,445.644,631.896,397.975,247.079,631.996,97.109,0,0,0,192.137,589.044,87.3313,386.653,586.83,40.3088,0,0,0,350.452,656.094,25.9328,610.035,368.563,782.857,735.595,407.922,478.861,0,0,0,732.964,398.832,443.566,777.031,446.09,428.811,843.737,411.089,77.3817,0,0,0,806.521,447.868,39.4631,987.328,462.111,114.505,0,0,0,968.258,397.151,81.924
5.37,609.373,661.909,939.347,440.789,568.615,959.62,448.105,488.863,951.086,620.167,419.595,934.888,511.606,722.931,806.587,447.385,669.927,470.172,0,0,0,402.095,673.598,438.563,439.965,632.468,396.43,233.456,633.535,100.511,0,0,0,178.048,590.942,92.4892,370.91,587.041,40.299,0,0,0,334.815,656.245,26.0923,612.531,366.677,782.023,738.598,407.69,478.676,0,0,0,736.128,398.485,442.577,780.1,445.911,428.404,847.029,411.873,76.4377,0,0,0,809.893,448.769,38.6361,990.405,462.982,114.136,0,0,0,971.656,398.209,81.1498
5.38,609.591,660.868,936.864,441.514,567.613,957.52,448.562,487.5,949.03,620.63,418.496,932.919,510.436,721.822,805.134,444.152,670.342,468.714,0,0,0,398.922,674.605,438.232,435.044,632.968,394.829,220.241,635.508,104.532,0,0,0,164.54,593.284,98.3938,355.175,587.258,40.3196,0,0,0,319.284,656.477,26.3358,615.686,364.816,782.815,742.275,407.601,478.505,0,0,0,739.473,398.456,441.651,783.56,445.56,427.527,845.715,413.313,74.2027,0,0,0,808.161,451.151,36.8453,989.778,463.411,110.838,0,0,0,970.2,398.97,77.6171
5.39,610.141,659.705,934.536,441.153,565.27,955.769,449.115,486.023,947.282,621.347,417.073,931.506,510.049,720.448,803.65,442.035,670.538,467.299,0,0,0,396.655,674.974,437.785,431.199,633.455,393.212,207.686,637.552,109.073,0,0,0,151.577,595.742,105.08,339.552,587.512,40.3664,0,0,0,303.775,656.839,26.7891,618.248,363.391,784.627,746.411,407.928,479.032,0,0,0,743.29,398.858,441.129,786.934,445.643,426.621,840.273,415.09,71.0289,0,0,0,802.2,453.517,34.7816,985.356,463.812,104.869,0,0,0,964.45,399.703,71.9189
5.4,611.057,658.362,932.435,441.23,562.857,954.042,450.219,484.484,945.791,622.569,415.451,930.786,510.441,718.969,802.093,441.015,670.53,465.9,0,0,0,395.104,675.351,437.117,428.191,633.764,391.558,195.903,639.314,114.11,0,0,0,139.501,598.079,112.559,324.139,587.714,40.4551,0,0,0,288.38,657.135,27.5098,620.406,362.331,786.272,750.39,408.485,479.743,0,0,0,746.927,399.604,440.595,789.768,446.151,425.582,830.921,416.586,67.47,0,0,0,791.957,455.439,33.89,977.757,464.506,97.0149,0,0,0,955.054,400.769,64.5773
5.41,612.525,656.889,930.66,443.732,562.226,952.457,451.558,482.968,944.695,624.024,413.782,930.705,511.504,717.369,800.483,441.148,670.427,464.433,0,0,0,394.416,675.512,436.447,426.344,633.951,389.936,184.78,641.268,120.127,0,0,0,128.499,600.176,120.958,309.001,587.85,40.5819,0,0,0,273.257,656.924,28.2632,622.3,361.715,786.684,753.766,408.885,479.952,0,0,0,749.967,400.219,439.824,792.306,446.845,424.101,820.21,418.629,65.7678,0,0,0,779.014,456.493,34.6522,968.198,466.105,86.2646,0,0,0,943.17,401.756,55.854
5.42,614.403,655.232,929.224,445.52,561.028,951.454,452.872,481.562,944.496,625.515,412.262,931.243,513.276,715.473,798.86,442.581,670.045,462.785,0,0,0,394.921,675.401,435.868,425.529,634.163,388.353,174.681,643.013,126.738,0,0,0,118.828,602.06,130.353,294.059,587.667,40.6462,0,0,0,258.278,656.858,29.3392,624.238,360.803,786.3,756.626,409.183,480.153,0,0,0,752.406,400.589,439.703,794.677,447.552,422.876,809.08,420.151,66.8405,0,0,0,765.83,457.629,36.7066,959.057,467.778,73.7003,0,0,0,930.587,403.079,46.8699
5.43,616.53,653.33,928.255,446.879,559.748,951.716,454.099,480.298,945.116,627.006,410.565,932.16,515.712,713.385,797.242,445.603,669.506,461.24,0,0,0,396.788,675.025,435.471,426.121,634.591,387.096,165.974,644.737,134.333,0,0,0,110.707,603.659,140.978,279.264,588.162,40.9606,0,0,0,243.378,656.609,30.6591,626.014,359.533,786.172,758.987,409.502,481.587,0,0,0,755.169,401.333,441.703,796.024,448.917,423.497,797.468,420.753,66.4071,0,0,0,753.02,457.652,38.4568,947.365,468.331,67.6741,0,0,0,917.977,403.238,41.8428
5.44,618.528,651.3,927.798,448.368,559.223,951.405,455.848,479.282,946.338,628.535,408.82,933.425,518.59,711.303,795.788,450.536,669.076,459.665,0,0,0,400.557,674.77,435.359,428.925,634.64,385.397,158.527,646.083,143.161,0,0,0,104.491,604.705,153.365,264.359,588.665,41.3667,0,0,0,227.806,656.407,32.4681,627.575,357.36,786.963,761.458,410.415,483.686,0,0,0,757.354,402.008,443.942,796.401,450.116,424.458,786.76,420.455,66.8554,0,0,0,740.795,456.526,40.2684,935.887,470.411,61.7097,0,0,0,906.566,404.163,39.0088
5.45,620.384,649.301,927.972,450.176,558.627,951.765,457.627,478.434,947.326,630.331,407.055,935.341,521.426,709.331,794.503,457.746,669.213,457.819,0,0,0,406.029,674.975,435.409,434.084,635.801,384.318,152.799,646.69,153.369,0,0,0,100.921,604.659,167.027,249.268,588.831,41.7445,0,0,0,211.37,655.713,34.8912,628.76,354.987,788.432,762.691,410.976,484.788,0,0,0,757.596,402.024,444.738,795.573,450.536,424.233,775.832,419.74,65.9757,0,0,0,728.12,455.332,41.9297,923.728,471.513,54.9774,0,0,0,894.064,405.836,31.5472
5.46,622.217,647.333,928.737,451.987,557.857,952.199,459.593,477.451,948.144,632.188,405.463,937.695,524.103,707.221,793.578,466.802,670.019,456.247,0,0,0,413.923,675.78,435.36,441.46,637.43,382.679,149.939,646.199,163.611,0,0,0,100.601,602.942,180.719,236.388,588.824,42.9799,0,0,0,197.578,654.727,38.3758,629.595,352.421,789.978,761.424,410.009,484.248,0,0,0,755.997,401.375,444.355,793.614,450.253,422.867,763.55,419.378,65.2715,0,0,0,714.602,454.298,43.1587,910.53,473.379,48.3095,0,0,0,880.672,404.317,27.9452
5.47,623.821,645.706,929.99,453.728,557.006,952.572,461.002,476.379,949.143,633.928,404.118,940.173,526.653,705.146,793.045,477.15,672.157,454.351,0,0,0,423.642,676.861,434.867,450.961,640.345,381.147,149.848,644.731,174.306,0,0,0,103.069,600.426,194.834,225.386,588.194,45.2792,0,0,0,186.319,653.544,43.4015,630.376,350.106,791.022,758.905,408.199,482.69,0,0,0,752.915,399.91,442.904,790.635,448.983,420.94,749.958,419.92,65.2381,0,0,0,700.395,454.493,43.7615,896.62,473.281,45.6791,0,0,0,866.018,402.202,26.7066
5.48,624.962,644.186,931.518,454.927,555.523,953.424,462.218,474.852,950.723,635.314,402.952,942.421,529.302,702.944,792.597,488.778,673.177,452.763,0,0,0,435.008,677.679,434.053,462.441,642.364,379.506,152.388,642.719,185.752,0,0,0,108.559,597.283,209.402,215.921,587.741,48.7227,0,0,0,177.013,652.202,50.108,631.029,348.365,791.664,756.022,406.314,480.883,0,0,0,748.803,398.375,441.523,786.247,447.162,419.407,735.422,420.083,65.1849,0,0,0,685.682,454.575,44.1974,882.416,472.901,44.1365,0,0,0,851.148,400.498,25.5608
5.49,625.768,643.158,933.204,454.703,554.392,954.416,461.784,473.979,952.939,636.464,401.908,944.449,532.02,701.249,792.32,501.666,674.313,451.016,0,0,0,447.728,678.009,432.966,475.462,643.801,377.73,157.494,640.454,196.969,0,0,0,116.756,593.883,223.44,208.052,587.504,53.008,0,0,0,169.769,650.893,59.573,631.26,346.447,792.828,752.278,404.562,480.016,0,0,0,743.612,396.957,440.962,780.409,445.359,418.29,720.539,419.987,65.0513,0,0,0,670.549,454.309,44.4439,867.376,473.065,43.2943,0,0,0,835.994,399.928,25.0236
5.5,626.125,642.274,934.907,455.842,552.718,955.859,462.486,472.606,955.414,637.398,400.871,946.386,535.007,699.135,791.746,515.347,675.234,449.591,0,0,0,461.561,678.81,432.23,489.218,644.81,376.307,164.972,638.244,207.381,0,0,0,127.522,589.911,235.957,203.245,586.761,57.8769,0,0,0,165.709,648.958,69.4087,631.093,344.835,795.017,746.353,402.969,480.074,0,0,0,737.018,395.679,440.961,773.087,443.762,417.327,704.913,419.735,65.1235,0,0,0,654.986,454.053,44.6883,851.88,472.917,42.9167,0,0,0,820.436,399.309,24.5566
5.51,626.008,641.614,936.426,456.526,551.319,957.671,462.689,471.584,958.253,638.196,399.959,948.518,538.099,697.362,791.199,529.312,676.008,448.643,0,0,0,476.12,679.825,432.01,503.513,645.641,375.534,174.335,635.762,216.59,0,0,0,139.776,586.185,246.982,202.195,585.867,63.0267,0,0,0,166.23,645.915,79.2804,630.883,343.934,797.99,738.595,401.892,480.487,0,0,0,728.632,394.316,440.641,764.642,442.204,416.44,689.155,419.408,65.0719,0,0,0,639.17,453.653,44.9092,836.24,472.523,42.6922,0,0,0,804.598,398.65,24.1354
